Time,Temperature (C),CPU Usage %
2023-03-18 23:14:30.833567,0,2.8
2023-03-18 23:14:41.025746,0,2.8
2023-03-18 23:14:51.215209,0,2.8
2023-03-18 23:15:01.418887,0,2.8
2023-03-18 23:15:11.585232,0,2.7
2023-03-18 23:15:21.762935,0,2.5
2023-03-18 23:15:31.931582,0,0.9
2023-03-18 23:15:42.097856,0,2.4
2023-03-18 23:15:52.297149,0,2.9
2023-03-18 23:16:02.492152,0,2.7
2023-03-18 23:16:12.682114,0,2.8
2023-03-18 23:16:22.864995,0,2.7
2023-03-18 23:16:33.035323,0,2.8
2023-03-18 23:16:43.359770,0,1.9
2023-03-18 23:16:53.542234,0,1.4
2023-03-18 23:17:03.816047,0,3
2023-03-18 23:17:14.015115,0,2.9
2023-03-18 23:17:24.215309,0,2.6
2023-03-18 23:17:34.395427,0,2.8
2023-03-18 23:17:44.706271,0,2.6
2023-03-18 23:17:54.880654,0,2.7
2023-03-18 23:18:05.095572,0,1
2023-03-18 23:18:15.259599,0,2.3
2023-03-18 23:18:25.468824,0,2.7
2023-03-18 23:18:35.671729,0,3
2023-03-18 23:18:45.867595,0,2.7
2023-03-18 23:18:56.035593,0,2.6
2023-03-18 23:19:06.224789,0,2.7
2023-03-18 23:19:16.397898,0,2.2
2023-03-18 23:19:26.600682,0,1.5
2023-03-18 23:19:36.785946,0,3.1
2023-03-18 23:19:46.985811,0,2.8
2023-03-18 23:19:57.194674,0,2.7
2023-03-18 23:20:07.442315,0,2.7
2023-03-18 23:20:17.620103,0,2.6
2023-03-18 23:20:27.792870,0,2.7
2023-03-18 23:20:37.959689,0,0.7
2023-03-18 23:20:48.160877,0,2.7
2023-03-18 23:20:58.367730,0,2.8
2023-03-18 23:21:08.591015,0,2.8
2023-03-18 23:21:18.781179,0,2.8
2023-03-18 23:21:29.111031,0,2.8
2023-03-18 23:21:39.298364,0,2.9
2023-03-18 23:21:49.481266,0,1.8
2023-03-18 23:21:59.671038,0,1.6
2023-03-18 23:22:09.895949,0,2.8
2023-03-18 23:22:20.102947,0,2.9
2023-03-18 23:22:30.301908,0,2.9
2023-03-18 23:22:40.501449,0,2.8
2023-03-18 23:22:50.677911,0,2.5
2023-03-18 23:23:00.941352,0,2.7
2023-03-18 23:23:11.115587,0,0.8
2023-03-18 23:23:21.279654,0,2.6
2023-03-18 23:23:31.472700,0,3
2023-03-18 23:23:41.684623,0,3.1
2023-03-18 23:23:51.885407,0,2.7
2023-03-18 23:24:02.070549,0,2.6
2023-03-18 23:24:12.243595,0,2.6
2023-03-18 23:24:22.418395,0,1.7
2023-03-18 23:24:32.599773,0,1.7
2023-03-18 23:24:42.852742,0,2.7
2023-03-18 23:24:53.038849,0,2.7
2023-03-18 23:25:03.242796,0,2.8
2023-03-18 23:25:13.420294,0,2.7
2023-03-18 23:25:23.598785,0,2.6
2023-03-18 23:25:33.775324,0,2.5
2023-03-18 23:25:44.043181,0,1
2023-03-18 23:25:54.236516,0,2.7
2023-03-18 23:26:04.513098,0,2.8
2023-03-18 23:26:14.726239,0,2.7
2023-03-18 23:26:24.923893,0,2.7
2023-03-18 23:26:35.115934,0,2.8
2023-03-18 23:26:45.304020,0,2.5
2023-03-18 23:26:55.483788,0,1.6
