Time,CPU Usage %,Temperature (C)
2023-03-18 23:20:48.160877,2.7,0
2023-03-18 23:20:58.367730,2.8,0
2023-03-18 23:21:08.591015,2.8,0
2023-03-18 23:21:18.781179,2.8,0
2023-03-18 23:21:29.111031,2.8,0
2023-03-18 23:21:39.298364,2.9,0
2023-03-18 23:21:49.481266,1.8,0
2023-03-18 23:21:59.671038,1.6,0
2023-03-18 23:22:09.895949,2.8,0
2023-03-18 23:22:20.102947,2.9,0
2023-03-18 23:22:30.301908,2.9,0
2023-03-18 23:22:40.501449,2.8,0
2023-03-18 23:22:50.677911,2.5,0
2023-03-18 23:23:00.941352,2.7,0
2023-03-18 23:23:11.115587,0.8,0
2023-03-18 23:23:21.279654,2.6,0
2023-03-18 23:23:31.472700,3,0
2023-03-18 23:23:41.684623,3.1,0
2023-03-18 23:23:51.885407,2.7,0
2023-03-18 23:24:02.070549,2.6,0
2023-03-18 23:24:12.243595,2.6,0
2023-03-18 23:24:22.418395,1.7,0
2023-03-18 23:24:32.599773,1.7,0
2023-03-18 23:24:42.852742,2.7,0
2023-03-18 23:24:53.038849,2.7,0
2023-03-18 23:25:03.242796,2.8,0
2023-03-18 23:25:13.420294,2.7,0
2023-03-18 23:25:23.598785,2.6,0
2023-03-18 23:25:33.775324,2.5,0
2023-03-18 23:25:44.043181,1,0
2023-03-18 23:25:54.236516,2.7,0
2023-03-18 23:26:04.513098,2.8,0
2023-03-18 23:26:14.726239,2.7,0
2023-03-18 23:26:24.923893,2.7,0
2023-03-18 23:26:35.115934,2.8,0
2023-03-18 23:26:45.304020,2.5,0
2023-03-18 23:26:55.483788,1.6,0
2023-03-18 23:27:05.671416,1.7,0
2023-03-18 23:27:15.872798,2.7,0
2023-03-18 23:27:26.089805,2.8,0
2023-03-18 23:27:36.285169,2.8,0
2023-03-18 23:27:46.481312,2.9,0
2023-03-18 23:27:56.659933,2.7,0
2023-03-18 23:28:06.836763,2.4,0
2023-03-18 23:28:17.026511,0.8,0
2023-03-18 23:28:27.214092,2.7,0
2023-03-18 23:28:37.408883,3,0
2023-03-18 23:28:47.608056,2.9,0
2023-03-18 23:28:57.815683,2.8,0
2023-03-18 23:29:08.040601,2.6,0
2023-03-18 23:29:18.311803,2.6,0
2023-03-18 23:29:28.485075,1.5,0
2023-03-18 23:29:38.660941,1.9,0
2023-03-18 23:29:48.855382,2.8,0
2023-03-18 23:29:59.053473,3.1,0
2023-03-18 23:30:09.255506,2.8,0
2023-03-18 23:30:19.509557,2.7,0
2023-03-18 23:30:29.690276,2.6,0
2023-03-18 23:30:39.859593,2.6,0
2023-03-18 23:30:50.032436,0.9,0
2023-03-18 23:31:00.239326,2.7,0
2023-03-18 23:31:10.436542,2.7,0
2023-03-18 23:31:20.666588,2.7,0
2023-03-18 23:31:30.899475,2.7,0
2023-03-18 23:31:41.172234,2.8,0
2023-03-18 23:31:51.354704,2.5,0
2023-03-18 23:32:01.627999,1.6,0
2023-03-18 23:32:11.803658,1.9,0
2023-03-18 23:32:22.000070,3,0
2023-03-18 23:32:32.200871,2.8,0
2023-03-18 23:32:42.520807,2.6,0
2023-03-18 23:32:52.746272,2.7,0
2023-03-18 23:33:02.920741,2.5,0
2023-03-18 23:33:13.093126,2.6,0
2023-03-18 23:33:23.280433,0.7,0
2023-03-18 23:33:33.471159,3.1,0
2023-03-18 23:33:43.696363,2.9,0
2023-03-18 23:33:53.926497,2.8,0
2023-03-18 23:34:04.115160,2.9,0
2023-03-18 23:34:14.291590,2.6,0
2023-03-18 23:34:24.465504,2.7,0
2023-03-18 23:34:34.641482,1.5,0
2023-03-18 23:34:44.875668,1.9,0
2023-03-18 23:34:55.079505,2.7,0
2023-03-18 23:35:05.346755,2.9,0
2023-03-18 23:35:15.546768,2.7,0
2023-03-18 23:35:25.736134,2.8,0
2023-03-18 23:35:35.914522,2.8,0
2023-03-18 23:35:46.074116,2.5,0
2023-03-18 23:35:56.263722,0.9,0
2023-03-18 23:36:06.470523,2.7,0
2023-03-18 23:36:16.674149,2.7,0
2023-03-18 23:36:26.890218,3.1,0
2023-03-18 23:36:37.087599,2.9,0
2023-03-18 23:36:47.251588,2.7,0
2023-03-18 23:36:57.428770,2.5,0
2023-03-18 23:37:07.609180,1.4,0
2023-03-18 23:37:17.775652,1.9,0
2023-03-18 23:37:27.994130,2.8,0
2023-03-18 23:37:38.194553,3.1,0
2023-03-18 23:37:48.403423,2.7,0
2023-03-18 23:37:58.571583,2.6,0
2023-03-18 23:38:08.824361,2.6,0
2023-03-18 23:38:18.983566,2.1,0
2023-03-18 23:38:29.172727,1.2,0
2023-03-18 23:38:39.374807,3,0
2023-03-18 23:38:49.566429,2.8,0
2023-03-18 23:38:59.764827,2.9,0
2023-03-18 23:39:09.962566,2.8,0
2023-03-18 23:39:20.377390,2.9,0
2023-03-18 23:39:30.556498,2.6,0
2023-03-18 23:39:40.719610,2.4,0
2023-03-18 23:39:50.905597,1.9,0
2023-03-18 23:40:01.114172,2.8,0
2023-03-18 23:40:11.302111,2.7,0
2023-03-18 23:40:21.750185,2.8,0
2023-03-18 23:40:31.972419,2.7,0
2023-03-18 23:40:42.198592,3,0
2023-03-18 23:40:52.382665,2.7,0
2023-03-18 23:41:02.578433,0.8,0
2023-03-18 23:41:12.851701,2.7,0
2023-03-18 23:41:23.135702,2.6,0
2023-03-18 23:41:33.339650,2.9,0
2023-03-18 23:41:43.538379,2.8,0
2023-03-18 23:41:53.722672,2.7,0
2023-03-18 23:42:03.905524,2.7,0
2023-03-18 23:42:14.152125,1.8,0
2023-03-18 23:42:24.336441,1.5,0
2023-03-18 23:42:34.555269,2.8,0
2023-03-18 23:42:44.890583,2.8,0
2023-03-18 23:42:55.089854,2.8,0
2023-03-18 23:43:05.264091,2.6,0
2023-03-18 23:43:15.445433,2.5,0
2023-03-18 23:43:25.624132,2.6,0
2023-03-18 23:43:35.838401,1.1,0
2023-03-18 23:43:46.008137,2.5,0
2023-03-18 23:43:56.267111,2.8,0
2023-03-18 23:44:06.529241,2.9,0
2023-03-18 23:44:16.731487,2.8,0
2023-03-18 23:44:26.907840,2.6,0
2023-03-18 23:44:37.081820,2.6,0
2023-03-18 23:44:47.335118,1.9,0
2023-03-18 23:44:57.567739,1.7,0
2023-03-18 23:45:07.788652,2.7,0
2023-03-18 23:45:18.039179,2.7,0
2023-03-18 23:45:28.241788,2.6,0
2023-03-18 23:45:38.518498,2.8,0
2023-03-18 23:45:48.701865,2.8,0
2023-03-18 23:45:58.867409,2.7,0
2023-03-18 23:46:09.082792,1,0
2023-03-18 23:46:19.252293,2.2,0
2023-03-18 23:46:29.448133,2.8,0
2023-03-18 23:46:39.653773,3,0
2023-03-18 23:46:49.846936,2.7,0
2023-03-18 23:47:00.019091,2.9,0
2023-03-18 23:47:10.258062,2.9,0
2023-03-18 23:47:20.433884,1.9,0
2023-03-18 23:47:30.614966,1.5,0
2023-03-18 23:47:40.885237,2.8,0
2023-03-18 23:47:51.172563,2.8,0
2023-03-18 23:48:01.357388,2.7,0
2023-03-18 23:48:11.548930,2.7,0
2023-03-18 23:48:21.734722,2.6,0
2023-03-18 23:48:31.920076,2.6,0
2023-03-18 23:48:42.122097,1.1,0
2023-03-18 23:48:52.285037,2.4,0
2023-03-18 23:49:02.512925,2.7,0
2023-03-18 23:49:12.721918,2.9,0
2023-03-18 23:49:22.936093,2.8,0
2023-03-18 23:49:33.129760,2.8,0
2023-03-18 23:49:43.397393,2.8,0
2023-03-18 23:49:53.630875,2,0
2023-03-18 23:50:03.842103,1.3,0
2023-03-18 23:50:14.106447,2.8,0
2023-03-18 23:50:24.320837,2.8,0
2023-03-18 23:50:34.578930,2.8,0
2023-03-18 23:50:44.904810,2.9,0
2023-03-18 23:50:55.089444,2.8,0
2023-03-18 23:51:05.263100,2.7,0
2023-03-18 23:51:15.446712,1.3,0
2023-03-18 23:51:25.608749,2.3,0
2023-03-18 23:51:35.801975,3,0
2023-03-18 23:51:45.998508,2.7,0
2023-03-18 23:51:56.186760,2.7,0
2023-03-18 23:52:06.356766,2.7,0
2023-03-18 23:52:16.527592,2.7,0
2023-03-18 23:52:26.702250,2,0
2023-03-18 23:52:36.878983,1.5,0
2023-03-18 23:52:47.077019,2.7,0
2023-03-18 23:52:57.283964,2.7,0
2023-03-18 23:53:07.530913,2.7,0
2023-03-18 23:53:17.729757,2.8,0
2023-03-18 23:53:27.968876,2.8,0
2023-03-18 23:53:38.164465,3.1,0
2023-03-18 23:53:48.337091,1.1,0
2023-03-18 23:53:58.526112,2.2,0
2023-03-18 23:54:08.734391,2.8,0
2023-03-18 23:54:18.940295,2.9,0
2023-03-18 23:54:29.144311,2.8,0
2023-03-18 23:54:39.327787,2.7,0
2023-03-18 23:54:49.510644,2.6,0
2023-03-18 23:54:59.691586,1.9,0
2023-03-18 23:55:09.873114,1.4,0
2023-03-18 23:55:20.093725,2.7,0
2023-03-18 23:55:30.311086,2.8,0
2023-03-18 23:55:40.514533,2.9,0
2023-03-18 23:55:50.718053,2.8,0
2023-03-18 23:56:00.943591,2.7,0
2023-03-18 23:56:11.180838,2.6,0
2023-03-18 23:56:21.366439,0.9,0
2023-03-18 23:56:31.555727,2.3,0
2023-03-18 23:56:41.853135,2.7,0
2023-03-18 23:56:52.068127,2.8,0
2023-03-18 23:57:02.272719,2.7,0
2023-03-18 23:57:12.491058,2.7,0
2023-03-18 23:57:22.676576,2.6,0
2023-03-18 23:57:32.859141,2.2,0
2023-03-18 23:57:43.054196,1.6,0
2023-03-18 23:57:53.266868,2.8,0
2023-03-18 23:58:03.473735,2.8,0
2023-03-18 23:58:13.671193,2.7,0
2023-03-18 23:58:23.865921,2.7,0
2023-03-18 23:58:34.063919,2.8,0
2023-03-18 23:58:44.395775,2.6,0
2023-03-18 23:58:54.640963,1.2,0
2023-03-18 23:59:04.813082,2.2,0
2023-03-18 23:59:15.082579,2.7,0
2023-03-18 23:59:25.336959,2.8,0
2023-03-18 23:59:35.595156,2.8,0
2023-03-18 23:59:45.827595,2.8,0
2023-03-18 23:59:56.012842,2.7,0
2023-03-19 00:00:06.250342,2.5,0
2023-03-19 00:00:16.488591,0.9,0
2023-03-19 00:00:26.699681,2.7,0
2023-03-19 00:00:36.901957,6.8,0
2023-03-19 00:00:47.111153,2.8,0
2023-03-19 00:00:57.329891,2.7,0
2023-03-19 00:01:07.513229,2.7,0
2023-03-19 00:01:17.687360,2.6,0
2023-03-19 00:01:27.854303,1.3,0
2023-03-19 00:01:38.023348,2.1,0
